gene1	gene2
SL003863	SL000591
SL007673	SL000053
SL000695	SL000592
SL000493	SL000592
SL005209	SL000592
SL001716	SL000584
SL004365	SL000584
SL000250	SL003322
SL003328	SL000319
SL000321	SL000319
SL004668	SL000276
SL004669	SL000276
SL005171	SL000276
SL000250	SL000276
SL004858	SL000276
SL000550	SL000276
SL000277	SL000276
SL003191	SL003951
SL001995	SL003951
SL002705	SL003951
SL000535	SL003951
SL004708	SL003951
SL006114	SL003060
SL003872	SL003060
SL002081	SL003060
SL004855	SL003060
SL005196	SL003060
SL005059	SL003060
SL008416	SL003060
SL010454	SL003060
SL010465	SL003060
SL010468	SL003060
SL000124	SL003060
SL014092	SL003060
SL014070	SL003060
SL004160	SL003060
SL004556	SL003060
SL005703	SL003060
SL007680	SL003060
SL004871	SL003060
SL003166	SL003060
SL002539	SL000324
SL004698	SL000324
SL004326	SL000324
SL005178	SL000324
SL008008	SL000324
SL010520	SL000324
SL000582	SL000324
SL004908	SL000324
SL004142	SL000345
SL000557	SL000345
SL000408	SL000345
SL010504	SL004333
SL003178	SL004342
SL000530	SL004342
SL005165	SL004342
SL005170	SL004342
SL005205	SL004342
SL004687	SL004342
SL006992	SL004342
SL010493	SL004342
SL004938	SL004342
SL014093	SL004342
SL005165	SL001716
SL006803	SL001716
SL003104	SL001716
SL000540	SL001716
SL000470	SL000133
SL007328	SL000133
SL003328	SL000573
SL000049	SL000573
SL000414	SL000573
SL000415	SL000573
SL000051	SL000573
SL004154	SL004010
SL000480	SL004365
SL007056	SL004365
SL007640	SL004365
SL010518	SL004365
SL010466	SL004365
SL008808	SL004365
SL004142	SL004643
SL010372	SL004643
SL009629	SL004643
SL003186	SL004643
SL002644	SL000055
SL001998	SL000055
SL000268	SL000055
SL001888	SL000055
SL005703	SL000055
SL004142	SL004144
SL003332	SL004144
SL010461	SL004144
SL014130	SL004144
SL004751	SL004142
SL000557	SL004142
SL004230	SL004142
SL001721	SL004142
SL005226	SL004142
SL003332	SL004142
SL000658	SL004142
SL010463	SL004142
SL006892	SL004142
SL004349	SL004142
SL007024	SL004142
SL002505	SL004142
SL004650	SL004143
SL000250	SL004143
SL005195	SL004143
SL003326	SL000563
SL003172	SL000563
SL004712	SL000563
SL000530	SL003280
SL003176	SL003280
SL004768	SL003280
SL004723	SL003280
SL004724	SL003280
SL004856	SL003280
SL003916	SL003280
SL000158	SL003280
SL007250	SL003280
SL007560	SL003280
SL010490	SL003280
SL009341	SL003280
SL008588	SL003280
SL007022	SL003280
SL007752	SL003280
SL010519	SL003280
SL001896	SL003280
SL011508	SL003280
SL003524	SL003280
SL005178	SL002539
SL004726	SL002539
SL000427	SL002539
SL008008	SL002539
SL010369	SL002539
SL010449	SL002539
SL010496	SL002539
SL010508	SL002539
SL004908	SL002539
SL004868	SL000300
SL000587	SL000300
SL000325	SL003328
SL000414	SL003328
SL000415	SL003328
SL000051	SL003328
SL005168	SL000466
SL002755	SL000466
SL000047	SL000045
SL004739	SL000045
SL005168	SL000498
SL000062	SL000498
SL000516	SL000038
SL001796	SL000527
SL000496	SL000527
SL002077	SL000527
SL000695	SL000527
SL004515	SL000527
SL004008	SL000527
SL007327	SL000527
SL004511	SL000527
SL004714	SL000527
SL004648	SL000527
SL004589	SL001796
SL000496	SL001796
SL002077	SL001796
SL000695	SL001796
SL004260	SL001796
SL004515	SL001796
SL004008	SL001796
SL007327	SL001796
SL004511	SL001796
SL018548	SL001796
SL004714	SL001796
SL004208	SL001796
SL014735	SL001796
SL000401	SL001796
SL004891	SL001796
SL004648	SL001796
SL000479	SL000546
SL005156	SL006114
SL005059	SL006114
SL010468	SL006114
SL004556	SL006114
SL008414	SL006114
SL008728	SL006114
SL005230	SL006114
SL004871	SL006114
SL003310	SL000002
SL004330	SL003738
SL004646	SL004180
SL000557	SL004180
SL004230	SL004180
SL003332	SL004180
SL000007	SL004180
SL000658	SL004180
SL004335	SL004692
SL000283	SL001777
SL005230	SL001777
SL004141	SL004136
SL008773	SL004136
SL000605	SL004759
SL004306	SL004759
SL010616	SL004759
SL010529	SL004759
SL010528	SL004759
SL005679	SL004759
SL008143	SL004759
SL000451	SL004759
SL004757	SL004759
SL011211	SL004759
SL006268	SL004759
SL006705	SL004759
SL003655	SL004759
SL004812	SL004759
SL004070	SL004759
SL003643	SL004759
SL013240	SL004759
SL004141	SL004140
SL003915	SL004140
SL005156	SL004140
SL004686	SL004140
SL004862	SL004140
SL002508	SL004140
SL010464	SL004140
SL004805	SL004140
SL002654	SL004140
SL004482	SL004140
SL014268	SL004140
SL005213	SL004140
SL005214	SL004140
SL004639	SL004141
SL005153	SL004141
SL001902	SL004141
SL003915	SL004141
SL005156	SL004141
SL004862	SL004141
SL008773	SL004141
SL010464	SL004141
SL004805	SL004141
SL004938	SL004141
SL014070	SL004141
SL002654	SL004141
SL004482	SL004141
SL005210	SL004141
SL005214	SL004141
SL005231	SL004141
SL002644	SL002519
SL005168	SL002519
SL003166	SL002519
SL014111	SL003803
SL007100	SL001890
SL001761	SL001890
SL002644	SL003872
SL003304	SL003872
SL003764	SL003872
SL004160	SL003872
SL004556	SL003872
SL007429	SL003872
SL005703	SL003872
SL007680	SL003872
SL004871	SL003872
SL003166	SL003872
SL007024	SL004751
SL003643	SL004751
SL000131	SL004697
SL000615	SL004697
SL003104	SL004697
SL008378	SL004697
SL000509	SL004698
SL004326	SL004698
SL005178	SL004698
SL008008	SL004698
