gene1	gene2
KLKB1	F11
SPARCL1	F11
TPSG1	CCL27
CDH1	COL18A1
MIA	COL18A1
SLPI	COL18A1
TFF3	COL18A1
DPT	COL18A1
UNC5C	COL18A1
CSF1R	TIMP1
KLK5	TIMP1
LYVE1	TIMP1
SERPINE2	TIMP1
LEP	PLAT
IL4	PLAT
NTN4	PLAT
ACY1	PLAT
SHBG	PLAT
ACVR1B	PROK1
CXCL5	PROK1
CDH12	PROK1
MED1	PROK1
FGF12	PROK1
CSF1R	TIMP2
LCN2	TIMP2
NRP1	TIMP2
LDHB	TIMP2
NOTCH3	TIMP2
IL12AB	TGFB1
TNFSF12	TGFB1
PPBP-pep2	TGFB1
HAT1	TGFB1
LGALS2	TGFB1
APP	TGFB1
CNDP2	TGFB1
PRKCQ	TGFB1
SKP1	TGFB1
Plasmin	TGFB1
RSPO2	TGFB1
SERPINF2	FLT4
GFRA1	FLT4
SPARCL1	FLT4
LAG3	FLT4
CFI	C5
C2	C5
CFB	C5
CFH	C5
CRP	C5
C5B-C6	C5
IGFBP6	APOE
APOE-iso-E3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
F7	APOE
C1R	APOE
GFRA1	APOE
SERPINA5	APOE
APOD	APOE
PLA2G7	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
APP	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
EREG	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
NBL1	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
PDCD1LG2	FGFR1
TGFBR3	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
CADM1	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CHL1	FGFR1
DKK3	FGFR1
EPHA5	FGFR1
MMP2	FGFR1
CDON	FGFR1
SLITRK5	FGFR1
GSN	FGFR1
NTRK2	FGFR1
CD55	FGFR1
EPHB2	FGFR1
EPHB6	FGFR1
GPNMB	FGFR1
JAG1	FGFR1
NOTCH1	FGFR1
NRXN3	FGFR1
ROBO2	FGFR1
UNC5D	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
CD97	C8
ARG1	C8
CA4	C8
KLK12	C8
FOLH1	C8
CA10	C8
AURKB	C8
CDK5	C8
BIRC5	C8
NTRK1	C8
TPO	C8
SPHK2	C8
TPM2	C8
PLCG1	C8
AGR2	C8
RB1	C8
EFNB3	CTSG
HMOX2	CTSG
PRKCZ	CTSG
MAPT	CTSG
CRLF2	CTSG
ESR1	CTSG
EDA2R	CTSG
GPC2	CTSG
EPO	CTSG
TGFB3	CTSG
CCL13	CTSG
IL28A	CTSG
GREM1	CTSG
ANXA1	CTSG
MATN2	CXCL16
FSTL3	CXCL16
STC1	CXCL16
CD55	CXCL16
MAPKAPK5	FGF10
IL23A	FGF10
NR1D1	FGF10
IL6ST	FGF8-iso-B
MST1R	FGF8-iso-B
ICAM3	FGF8-iso-B
OSM	FGF8-iso-B
NOG	FGF8-iso-B
NOV	FGF8-iso-B
PCNA	FGF8-iso-B
LGALS4	FGF8-iso-B
ICOS	FGF8-iso-B
NCR3	FGF8-iso-B
TSLP	FGF8-iso-B
ENTPD1	FGF8-iso-B
MATN3	FGF8-iso-B
SERPINE2	FGF8-iso-B
CAMK2D	FGF8-iso-B
LCK	FGF8-iso-B
TLR2	FGF8-iso-B
CAMKK1	FGF8-iso-B
PES1	FGF8-iso-B
ENTPD3	FGF8-iso-B
TNFSF12	PLA2G2E
CCL5	PLA2G2E
POR	PLA2G2E
IL10	PLA2G2E
CD4	PLA2G2E
PLK1	PLA2G2E
MPL	PLA2G2E
DNAJC19	PLA2G2E
NR1D1	PLA2G2E
TDGF1	PLA2G5
CRLF2	PLA2G5
TSLP	PLA2G5
CD4	PLA2G5
ANGPTL3	PLA2G5
IL24	PLA2G5
VIP	PLA2G5
TNFSF12	IL12AB
PECAM1	IL12AB
LGALS4	IL12AB
CNDP2	IL12AB
ANGPTL3	IL12AB
IL24	IL12AB
TBK1	IL12AB
DYNLL1	IL12AB
MBD4	IL12AB
CCL24	IL12AB
Plasmin	IL12AB
PON1	IL12AB
DNAJC19	IL12AB
OLFM4	IL12AB
E7_HPV16	CCL20
KLK4	CCL20
GPC2	CCL20
MPL	CCL20
MBD4	CCL20
TGFB2	CCL20
PES1	CCL20
IL11	CCL20
DNAJC19	CCL20
JAG1	CCL20
CFI	APCS
PROS1	APCS
CFB	APCS
CFH	APCS
CRP	APCS
SHBG	APCS
SPINT1	KIT
CNTN2	KIT
Lymphotoxin-a2b1	KIT
L1CAM	KIT
DKK4	TIMP3
DKK1	TIMP3
PDGFB	TIMP3
PDGFA	TIMP3
ICAM3	TNFSF12
IL4	TNFSF12
TSLP	TNFSF12
BMP10	TNFSF12
CLEC7A	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
CAMKK1	TNFSF12
SKP1	TNFSF12
EFNB3	ANGPT4
ERBB2	ANGPT4
HMOX2	ANGPT4
SIGLEC6	ANGPT4
KLK4	ANGPT4
PLA2G10	ANGPT4
PRSS7	ANGPT4
PTH	ANGPT4
CDC37	ANGPT4
MBD4	ANGPT4
XCL1	ANGPT4
TGFB2	ANGPT4
DNAJC19	ANGPT4
KIR3DL2	ANGPT4
ERBB3	CDH1
EGFR	CDH1
MIA	CDH1
LYVE1	CDH1
TGFBI	CDH1
MATN2	CDH1
TFPI	CDH1
BMP1	CDH1
IGF2R	CDH1
PLG	CDH1
KLKB1	CDH1
Thrombin	CDH1
SLPI	CDH1
NOTCH1	CDH1
EFNB3	GFRA3
PRKCZ	GFRA3
MAPT	GFRA3
PECAM1	GFRA3
MMP17	GFRA3
KAT6A	GFRA3
FCGR1A	GFRA3
PLAU	GFRA3
CHST2	GFRA3
CHST6	GFRA3
GREM1	GFRA3
RSPO2	GFRA3
HMOX2	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
PECAM1	EFNB3
CRLF2	EFNB3
MMP17	EFNB3
TNFSF4	EFNB3
ESR1	EFNB3
CD4	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
FCGR1A	EFNB3
GPC2	EFNB3
IL24	EFNB3
ABL1	EFNB3
CDK5	EFNB3
PLK1	EFNB3
BCL2	EFNB3
CDH12	EFNB3
FGF4	EFNB3
CCL13	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IL11	EFNB3
IGFBP6	GFRA2
FRZB	GFRA2
SERPINF2	GFRA2
C1R	GFRA2
GFRA1	GFRA2
SERPINC1	GFRA2
FLT3	GFRA2
MAP2K2	GFRA2
TF	GFRA2
LAG3	GFRA2
IL22RA2	CCL21
CXCL5	CCL5
CXCL3	CCL5
CXCL11	CCL5
THBS1	CCL5
CXCL6	CCL5
CXCL12	CCL5
LTBR	HMGB1
HSPD1	HMGB1
OSM	HMGB1
CCL1	HMGB1
AIF1	HMGB1
HDAC8	HMGB1
KAT6A	HMGB1
DSG1	HMGB1
JAM2	HMGB1
CTSD	HMGB1
ENTPD1	HMGB1
KLK12	HMGB1
FOLH1	HMGB1
PIK3CG	HMGB1
None	HMGB1
STAB2	HMGB1
CAMK1D	HMGB1
KLK6	HMGB1
STK16	HMGB1
BSG	HMGB1
MMEL1	HMGB1
CDC42BPB	HMGB1
CD84	HMGB1
PPP3R1	HMGB1
COLEC12	HMGB1
KLK14	HMGB1
CFL1	HMGB1
SYNCRIP	HMGB1
DAPK2	HMGB1
DYRK3	HMGB1
ENTPD3	HMGB1
ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
HSD17B1	HMGB1
PPIB	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
SFN	HMGB1
MAP3K7	HMGB1
CALR	HMGB1
E7_HPV18	TNFRSF11B
LTBR	TNFRSF11B
IL1F7	TNFRSF11B
CD97	TNFRSF11B
CX3CL1	TNFRSF11B
ARG1	TNFRSF11B
CFD	TNFRSF11B
CA4	TNFRSF11B
CTSD	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CA10	TNFRSF11B
AURKB	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
PAK3	TNFRSF11B
SYNCRIP	TNFRSF11B
TPM2	TNFRSF11B
ZAP70	TNFRSF11B
APOD	TNFRSF11B
CHEK1	POMC-be
ADAMTS1	POMC-be
ENTPD1	POMC-be
CNDP2	POMC-be
CA7	POMC-be
GZMH	POMC-be
PAK7	POMC-be
IL17B	POMC-be
TG	POMC-be
C3B-inac	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
LEP	IGFBP2
SERPINA3	IGFBP2
CCL23	IGFBP2
GHR	IGFBP2
NRP1	IGFBP2
BMP1	IGFBP2
CNDP1	IGFBP2
PAPPA	IGFBP2
CHST15	IGFBP2
DLL1	IGFBP2
IGF1	IGFBP3
ADAMTS13	IGFBP3
ITIH4	IGFBP3
JAK2	IGFBP3
MMP3	LEP
GHR	LEP
KLK3	LEP
CCL7	CCL2
MPO	MMP9
TNFRSF1A	MMP9
HGF	MMP9
AZU1	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
SFRP1	MMP9
DLL4	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
FCN1	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
PDE5A	MMP9
ELANE	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
UBE2I	MPO
RETN	MPO
CTSS	MPO
DLL4	MPO
PGLYRP1	MPO
PRTN3	MPO
FCN1	MPO
OLR1	MPO
BPI	MPO
GPI	MPO
RBM39	MPO
SFTPD	MPO
GSTP1	MPO
LIFR	MPO
ANXA1	MPO
CAPG	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
S100A9	MPO
HNRNPA2B1	MPO
TNFSF14	MPO
ADCYAP1-38	PRL
IL3	PRL
CALR	PRL
CNTFR	ROR1
CDH5	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
RGMB	ROR1
HFE2	ROR1
EPHA5	ROR1
SLITRK5	ROR1
ADCYAP1-38	ROR1
IL3	ROR1
EPHA2	ROR1
NTRK2	ROR1
CD55	ROR1
EPHB2	ROR1
EPHB6	ROR1
NRXN3	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
MMEL1	VEGFA
CADM3	VEGFA
OCIAD1	VEGFA
VEGFA-iso121	VEGFA
PDE3A	VEGFA
FGF9	TNFRSF9
TOP1	TNFRSF9
ANGPTL4	TNFSF9
MAP3K7	TNFSF9
THBS2	ANGPT2
CHST15	ANGPT2
IL1F7	CD80
CX3CL1	CD80
ARG1	CD80
CD22	CD80
CDK5	CD80
PAK3	CD80
BIRC5	CD80
IL23A	CD80
PLCG1	CD80
CCNB1	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
MAPT	TNFRSF8
PECAM1	TNFRSF8
CRLF2	TNFRSF8
MMP17	TNFRSF8
ESR1	TNFRSF8
PRSS7	TNFRSF8
GAS1	TNFRSF8
MATN3	TNFRSF8
BCL2	TNFRSF8
EPO	TNFRSF8
TGFB3	TNFRSF8
CDH12	TNFRSF8
MMP10	TNFRSF8
PSMD7	TNFRSF8
WNT7A	TNFRSF8
FGF1	CRLF1
FGF17	CRLF1
TGFB3	CRLF1
SERPINA6	CRLF1
DLL1	CRLF1
PF4	CST3
NBL1	CST3
ESAM	CST3
TGFBR3	CST3
CST6	CST3
FSTL3	CST3
B2M	CST3
EPHA2	CST3
RELT	CST3
UNC5C	CST3
TNFRSF21	CST3
EFNA5	TYRO3
CNTFR	TYRO3
BCAM	TYRO3
PDCD1LG2	TYRO3
CD109	TYRO3
LRIG3	TYRO3
TNFSF8	TYRO3
TEK	TYRO3
ENG	TYRO3
TYMS	TYRO3
CD200R1	TYRO3
NRCAM	TYRO3
SEMA6A	TYRO3
RPS27A-UbB	EIF5
UBE2I	EIF5
METAP1	EIF5
PTPN11	EIF5
UFC1	EIF5
BTK	EIF5
IL8	EIF5
RPS6KA3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
EEF1B2	EIF5
SNX4	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
FER	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
PFDN5	EIF5
RBM39	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
MSN	EIF5
SHC1	EIF5
EFNA5	EFNA4
CNTFR	EFNA4
BCAM	EFNA4
KLK8	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
IL1R1	EFNA4
PDCD1LG2	EFNA4
IL18BP	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
TEC	EFNA4
MFRP	EFNA4
TEK	EFNA4
CAMKK1	EFNA4
IGF1R	EFNA4
SLITRK5	EFNA4
EPHA2	EFNA4
ENG	EFNA4
CDNF	EFNA4
CD200	EFNA4
RELT	EFNA4
SEMA6A	EFNA4
UNC5D	EFNA4
IL17RC	EFNA4
NTRK3	EFNA5
CNTFR	EFNA5
AGRP	EFNA5
BCAM	EFNA5
KLK8	EFNA5
WIF1	EFNA5
NBL1	EFNA5
TNFSF15	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
IL18BP	EFNA5
CD109	EFNA5
CST6	EFNA5
HTRA2	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
CLEC7A	EFNA5
TEC	EFNA5
MFRP	EFNA5
EPHA5	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
CDNF	EFNA5
NRCAM	EFNA5
SEMA6A	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
TNFRSF21	EFNA5
EGFR	ERBB3
GHR	ERBB3
IL19	ERBB3
F10A	ERBB3
BMP1	ERBB3
CPB2	ERBB3
PLG	ERBB3
KLKB1	ERBB3
F10	ERBB3
NOTCH1	ERBB3
ALCAM	ERBB3
E7_HPV16	ERBB4
MMP17	ERBB4
PCNA	ERBB4
ESR1	ERBB4
KREMEN2	ERBB4
BCL2	ERBB4
FGF1	ERBB4
CNTF	ERBB4
FCRL3	ERBB4
KIRREL3	ERBB4
EPHA10	ERBB4
IL20RA	ERBB4
CD4	TACSTD2
BCL2	TACSTD2
DUSP3	TACSTD2
ICAM1	TACSTD2
APOE-isoE2	TACSTD2
EGFR	IL6ST
CDH5	IL6ST
MET	IL6ST
CNTN1	IL6ST
LGALS4	IL6ST
NCR3	IL6ST
TSLP	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
HTRA2	IL6ST
LRIG3	IL6ST
MATN2	IL6ST
RGMB	IL6ST
INSR	IL6ST
CHL1	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
NCAM1	IL6ST
CDON	IL6ST
NTRK2	IL6ST
CD55	IL6ST
GPNMB	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
PRKCZ	HMOX2
ADAMTS4	HMOX2
UBE2I	HMOX2
GPC2	HMOX2
IL24	HMOX2
CAMK2B	HMOX2
ARID3A	HMOX2
RBM39	HMOX2
IL28A	HMOX2
GREM1	HMOX2
GSTP1	HMOX2
MAPK14	HMOX2
MST1R	E7_HPV16
NCR2	E7_HPV16
IL10	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
ADAMTS1	E7_HPV16
CA4	E7_HPV16
CNTN5	E7_HPV16
IL24	E7_HPV16
CNTF	E7_HPV16
VIP	E7_HPV16
CCL24	E7_HPV16
EIF4EBP2	E7_HPV16
PON1	E7_HPV16
