gene1	gene2
CRISP3	F11
KLKB1	F11
TYMS	CCL27
CDH1	COL18A1
TFPI	COL18A1
CD84	COL18A1
SLPI	COL18A1
DPT	COL18A1
UNC5C	COL18A1
KPNA2	TIMP1
SERPINE2	TIMP1
GPC2	TIMP1
BMP10	TIMP1
MFRP	TIMP1
TNFSF12	PLAT
IGFBP2	PLAT
NTN4	PLAT
CXCL5	PROK1
IL17B	PROK1
CDH12	PROK1
MED1	PROK1
MMP2	PROK1
NGF	PROK1
LCN2	TIMP2
NOTCH3	TIMP2
PLA2G2E	TGFB1
IL12AB	TGFB1
CCL20	TGFB1
TNFSF12	TGFB1
KLK4	TGFB1
SPARC	TGFB1
CNDP2	TGFB1
ANGPTL3	TGFB1
MATK	TGFB1
GREM1	TGFB1
RSPO2	TGFB1
GFRA2	FLT4
IGFBP4	FLT4
SERPINF2	FLT4
GFRA1	FLT4
DYNLL1	C5
C5B-C6	C5
SIRT2	C5
IGFBP6	APOE
APOE-iso-E3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
SERPINA5	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
APP	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
TGFBR3	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CHL1	FGFR1
DKK3	FGFR1
MMP2	FGFR1
IGF1R	FGFR1
ADAM12	FGFR1
NCAM1	FGFR1
CDON	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
ENG	FGFR1
CD55	FGFR1
NOTCH1	FGFR1
ROBO2	FGFR1
OMD	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
ADAMTS4	C8
CD97	C8
ARG1	C8
CA4	C8
AURKB	C8
CDK5	C8
BIRC5	C8
SPHK2	C8
TPM2	C8
AGR2	C8
ATP5B	C8
RB1	C8
PLA2G2E	CTSG
GFRA3	CTSG
EFNB3	CTSG
MAPT	CTSG
LTF	CTSG
ALPL	CTSG
MMP17	CTSG
SERPINE2	CTSG
H2AFZ	CTSG
ELANE	CTSG
MRC1	CXCL16
LGALS3	CXCL16
NAAA	CXCL16
MATN2	CXCL16
MMP2	CXCL16
ALCAM	CXCL16
SPINT2	FGF10
CTSC	FGF10
MAPKAPK5	FGF10
BST1	FGF10
COL8A1	FGF10
HMGB1	FGF8-iso-B
LAYN	FGF8-iso-B
ICAM3	FGF8-iso-B
PLAUR	FGF8-iso-B
OSM	FGF8-iso-B
KAT6A	FGF8-iso-B
MATN3	FGF8-iso-B
STAB2	FGF8-iso-B
CDC42BPB	FGF8-iso-B
OCIAD1	FGF8-iso-B
CD84	FGF8-iso-B
TLR4	FGF8-iso-B
ENTPD3	FGF8-iso-B
FCRL3	FGF8-iso-B
RASA1	FGF8-iso-B
ADCYAP1-27	FGF8-iso-B
HSD17B1	FGF8-iso-B
SMPDL3A	FGF8-iso-B
TNFRSF11A	FGF8-iso-B
IL10	PLA2G2E
CYP3A4	PLA2G2E
ADIPOQ	PLA2G2E
LDHB	PLA2G2E
POMC-cort	PLA2G2E
KLRF1	PLA2G2E
TSLP	PLA2G5
CD4	PLA2G5
VIP	PLA2G5
IL11	PLA2G5
OLFM4	PLA2G5
SPINT1	IL12AB
LYVE1	IL12AB
ANGPTL3	IL12AB
IL24	IL12AB
CAMK1D	IL12AB
BCAN	IL12AB
CD40LG	IL12AB
DYNLL1	IL12AB
CCL24	IL12AB
Plasmin	IL12AB
DNAJC19	IL12AB
TPM1	IL12AB
SLAMF6	IL12AB
HAVCR2	IL12AB
CSNK2A1-2B	IL12AB
GPC2	CCL20
MBD4	CCL20
FGF4	CCL20
TGFB2	CCL20
CFI	APCS
PROS1	APCS
CDH2	APCS
CFH	APCS
CRP	APCS
TNFRSF18	APCS
EDA	KIT
Lymphotoxin-a2b1	KIT
L1CAM	KIT
KPNA2	TNFSF12
IL1B	TNFSF12
THBS1	TNFSF12
BMP10	TNFSF12
CLEC7A	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
SKP1	TNFSF12
PRSS7	ANGPT4
CDC37	ANGPT4
MBD4	ANGPT4
XCL1	ANGPT4
TGFB2	ANGPT4
ERBB3	CDH1
EGFR	CDH1
MIA	CDH1
CNTN1	CDH1
IL19	CDH1
MATN2	CDH1
TFPI	CDH1
CD84	CDH1
MMP2	CDH1
CFL1	CDH1
SPON1	CDH1
SLPI	CDH1
NOTCH1	CDH1
ROBO2	CDH1
EFNB3	GFRA3
PRKCZ	GFRA3
MAPT	GFRA3
PECAM1	GFRA3
MMP17	GFRA3
KAT6A	GFRA3
SERPINE2	GFRA3
FCGR1A	GFRA3
CHST2	GFRA3
RSPO2	GFRA3
HMOX2	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
PECAM1	EFNB3
CRLF2	EFNB3
MMP17	EFNB3
ESR1	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
FCGR1A	EFNB3
GPC2	EFNB3
ABL1	EFNB3
EPO	EFNB3
TGFB3	EFNB3
FGF4	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IGFBP6	GFRA2
SERPINF2	GFRA2
C1R	GFRA2
GFRA1	GFRA2
SERPINC1	GFRA2
SERPING1	GFRA2
CTSA	CCL5
CXCL6	CCL5
CXCL12	CCL5
CSF1	CCL5
LTBR	HMGB1
HSPD1	HMGB1
OSM	HMGB1
CCL1	HMGB1
AIF1	HMGB1
HDAC8	HMGB1
DSG1	HMGB1
CXCL1	HMGB1
JAM2	HMGB1
CTSD	HMGB1
ENTPD1	HMGB1
KLK12	HMGB1
SERPINE2	HMGB1
FOLH1	HMGB1
PIK3CG	HMGB1
None	HMGB1
STAB2	HMGB1
CAMK1D	HMGB1
FLT3	HMGB1
KLK6	HMGB1
STK16	HMGB1
BSG	HMGB1
CD84	HMGB1
CFL1	HMGB1
SYNCRIP	HMGB1
DAPK2	HMGB1
DYRK3	HMGB1
ENTPD3	HMGB1
ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
SFN	HMGB1
MAP3K7	HMGB1
E7_HPV18	TNFRSF11B
IL1F7	TNFRSF11B
CD97	TNFRSF11B
CX3CL1	TNFRSF11B
ARG1	TNFRSF11B
CD22	TNFRSF11B
CA4	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CA10	TNFRSF11B
AURKB	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
PAK3	TNFRSF11B
TPO	TNFRSF11B
TPM2	TNFRSF11B
IL10RB	POMC-be
IL12RB1	POMC-be
MST1R	POMC-be
CD97	POMC-be
ARG1	POMC-be
CHEK1	POMC-be
TBP	POMC-be
CA4	POMC-be
CNDP2	POMC-be
CA7	POMC-be
CDK8	POMC-be
CDC2	POMC-be
IL15RA	POMC-be
TG	POMC-be
IL1A	POMC-be
SERPINA3	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
FGG	CFI
LEP	IGFBP2
GHR	IGFBP2
NRP1	IGFBP2
AFM	IGFBP2
UNC5C	IGFBP2
IGFBP4	IGFBP3
IGF1	IGFBP3
SERPINA5	IGFBP3
C4	IGFBP3
ITIH4	IGFBP3
C3A	IGFBP3
LAG3	IGFBP3
CPE	IGFBP3
GHR	LEP
RET	LEP
TFF3	LEP
SHBG	LEP
ARTN	CCL2
CXCL5	CCL2
CXCL3	CCL2
CXCL6	CCL2
SIGLEC1	CCL2
WNT7A	CCL2
MPO	MMP9
TNFRSF1A	MMP9
HGF	MMP9
AZU1	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
FCN1	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
RETN	MPO
CTSS	MPO
PGLYRP1	MPO
PRTN3	MPO
OLR1	MPO
BPI	MPO
SFTPD	MPO
LIFR	MPO
ANXA1	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
HNRNPA2B1	MPO
TNFSF14	MPO
PGF	PRL
ADAM12	PRL
CNTFR	ROR1
CDH5	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
RGMB	ROR1
DKK3	ROR1
GPR114	ROR1
SLITRK5	ROR1
IL3	ROR1
EPHA2	ROR1
CD55	ROR1
EPHB2	ROR1
EPHB6	ROR1
NRXN3	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
MMEL1	VEGFA
ADCYAP1-38	VEGFA
IL3	VEGFA
VEGFA-iso121	VEGFA
CALR	VEGFA
TOP1	TNFRSF9
IL17A	TNFRSF9
BPI	TNFRSF9
GZMB	TNFRSF9
IL3	TNFRSF9
SIGLEC6	TNFSF9
SIGLEC1	TNFSF9
MET	ANGPT2
PGF	ANGPT2
CGA-CGB	ANGPT2
CD22	CD80
TPM2	CD80
IL34	CD80
OLFM4	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
