gene1	gene2
CFB	C4B
KLKB1	F11
ANG	F11
FABP5	F11
TNFRSF18	CCL27
CCL23	COL18A1
Ck-beta-8-1	COL18A1
THBS4	COL18A1
NTF3	COL18A1
SLPI	COL18A1
DPT	COL18A1
MAPT	TIMP1
TNFRSF1A	TIMP1
CNTN5	TIMP1
DDC	TIMP1
CKB	TIMP1
OLFM4	TIMP1
IL4	PLAT
NTN4	PLAT
E7_HPV16	PROK1
NANOG	PROK1
ACVR1B	PROK1
PCNA	PROK1
FGF12	PROK1
LCN2	TIMP2
F7	TIMP2
NRP1	TIMP2
ADAM9	TIMP2
LDHB	TIMP2
NOTCH3	TIMP2
IL12AB	TGFB1
CCL20	TGFB1
EFNB3	TGFB1
E7_HPV16	TGFB1
CNDP2	TGFB1
PRKCQ	TGFB1
Plasmin	TGFB1
CST7	FLT4
GFRA1	FLT4
CFI	C5
CFB	C5
CFH	C5
CRP	C5
C5B-C6	C5
CDH3	APOE
IGFBP6	APOE
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
ADAMTS13	APOE
C1R	APOE
GFRA1	APOE
SERPINA5	APOE
PRSS27	APOE
FGFR4	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
SPARC	BDNF
APP	BDNF
DKK4	BDNF
BMX	BDNF
THBS1	BDNF
EIF4EBP2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
RSPO2	BDNF
POMC-cort	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
TGFBR3	FGFR1
IL19	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CHL1	FGFR1
DKK3	FGFR1
MMP2	FGFR1
NCAM1	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
CD55	FGFR1
JAG1	FGFR1
NOTCH1	FGFR1
NRXN3	FGFR1
ROBO2	FGFR1
UNC5C	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
ARG1	C8
CA4	C8
SEMA3A	C8
CA10	C8
FLT3	C8
BIRC5	C8
NTRK1	C8
PRSS27	C8
OPCML	C8
MAPKAPK2	C8
TPO	C8
TPM2	C8
AGR2	C8
ATP5B	C8
RB1	C8
PLA2G2E	CTSG
EFNB3	CTSG
MPO	CTSG
MAPT	CTSG
PECAM1	CTSG
AZU1	CTSG
ESR1	CTSG
GAS1	CTSG
EPO	CTSG
TGFB3	CTSG
CCL13	CTSG
MATN2	CXCL16
HFE2	CXCL16
ALCAM	CXCL16
ADAMTS5	FGF10
CNTF	FGF10
MAPKAPK5	FGF10
IL23A	FGF10
ICAM3	FGF8-iso-B
OSM	FGF8-iso-B
KAT6A	FGF8-iso-B
CYP3A4	FGF8-iso-B
LGALS4	FGF8-iso-B
ICOS	FGF8-iso-B
TSLP	FGF8-iso-B
ENTPD1	FGF8-iso-B
