gene1	gene2
CFP	C4B
C6	C4B
KLKB1	F11
CDH1	COL18A1
MIA	COL18A1
MMP7	COL18A1
AGRP	COL18A1
CCL23	COL18A1
TGFBR3	COL18A1
Ck-beta-8-1	COL18A1
SERPINE2	COL18A1
TFPI	COL18A1
CHRDL1	COL18A1
SLPI	COL18A1
TFF3	COL18A1
DPT	COL18A1
NOTCH1	COL18A1
UNC5C	COL18A1
CSF1R	TIMP1
KPNA2	TIMP1
KLK5	TIMP1
LYVE1	TIMP1
SERPINE2	TIMP1
CST7	TIMP1
BMP10	TIMP1
CLEC7A	TIMP1
IGFBP2	PLAT
LEP	PLAT
NTN4	PLAT
TF	PLAT
MEPE	PROK1
CNTF	PROK1
CCL24	PROK1
OLFM4	PROK1
CSF1R	TIMP2
LCN2	TIMP2
APP	TIMP2
NRP1	TIMP2
LDHB	TIMP2
NOTCH3	TIMP2
IL12AB	TGFB1
TNFSF12	TGFB1
MATK	TGFB1
PRDX5	TGFB1
SERPINF2	FLT4
GFRA1	FLT4
SPARCL1	FLT4
LAG3	FLT4
APCS	C5
CFI	C5
C5A	C5
PTPN1	C5
CAST	C5
C9	C5
BCL2A1	C5
CFB	C5
CFH	C5
C5B-C6	C5
SIRT2	C5
IGFBP6	APOE
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
CFP	APOE
SERPINF2	APOE
CA4	APOE
F7	APOE
C1R	APOE
GFRA1	APOE
SERPINA5	APOE
ALB	APOE
C6	APOE
PCSK7	APOE
APOD	APOE
ITIH4	APOE
GOT1	APOE
DBNL	APOE
LAG3	APOE
APOE-isoE2	APOE
E7_HPV16	BDNF
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
SPARC	BDNF
APP	BDNF
NID1	BDNF
DKK4	BDNF
MPL	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
PDGFB	BDNF
EIF4EBP2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
EREG	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
NBL1	FGFR1
CNTN1	FGFR1
IL1R1	FGFR1
LSAMP	FGFR1
PDCD1LG2	FGFR1
TGFBR3	FGFR1
MRC2	FGFR1
CD109	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
CADM1	FGFR1
RGMB	FGFR1
