gene1	gene2
CFP	C4B
KLKB1	F11
CDH1	COL18A1
MIA	COL18A1
ACP5	COL18A1
TGFBI	COL18A1
FSTL3	COL18A1
PYY	COL18A1
SLPI	COL18A1
CLU	COL18A1
DPT	COL18A1
UNC5C	COL18A1
KPNA2	TIMP1
LYVE1	TIMP1
SERPINE2	TIMP1
BMP10	TIMP1
MMP10	TIMP1
TNFSF12	PLAT
LEP	PLAT
ACE2	PROK1
ICOS	PROK1
IL12RB2	PROK1
ASGR1	PROK1
MBD4	PROK1
FGF12	PROK1
LCN2	TIMP2
NOTCH3	TIMP2
BDNF	TGFB1
PLA2G2E	TGFB1
IL12AB	TGFB1
TNFSF12	TGFB1
SPARC	TGFB1
APP	TGFB1
CNDP2	TGFB1
ANGPTL3	TGFB1
GPC2	TGFB1
ARSA	TGFB1
MATK	TGFB1
GFRA2	FLT4
SERPINF2	FLT4
GFRA1	FLT4
MASP1	FLT4
CFH	C5
C5B-C6	C5
SIRT2	C5
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
ADAMTS13	APOE
LAG3	APOE
APOE-isoE2	APOE
E7_HPV16	BDNF
PF4	BDNF
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
APP	BDNF
NID1	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
EIF4EBP2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
EREG	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
PSPN	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
TGFBR3	FGFR1
IL19	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CHL1	FGFR1
DKK3	FGFR1
MMP2	FGFR1
IGF1R	FGFR1
ADAM12	FGFR1
NCAM1	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
CD55	FGFR1
NOTCH1	FGFR1
ROBO2	FGFR1
OMD	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
CD97	C8
ARG1	C8
CA4	C8
CA10	C8
AURKB	C8
CDK5	C8
BIRC5	C8
TPO	C8
SPHK2	C8
TPM2	C8
ADCYAP1-38	C8
AGR2	C8
RB1	C8
GFRA3	CTSG
EFNB3	CTSG
MPO	CTSG
PRKCZ	CTSG
MAPT	CTSG
PECAM1	CTSG
LTF	CTSG
ALPL	CTSG
MMP17	CTSG
ESR1	CTSG
GAS1	CTSG
SERPINE2	CTSG
ANGPTL3	CTSG
DLL4	CTSG
EPO	CTSG
TGFB3	CTSG
H2AFZ	CTSG
GREM1	CTSG
PDE5A	CTSG
ELANE	CTSG
MRC1	CXCL16
MATN2	CXCL16
ALCAM	CXCL16
IL20	FGF10
ICAM3	FGF8-iso-B
KAT6A	FGF8-iso-B
ICOS	FGF8-iso-B
MATN3	FGF8-iso-B
STAB2	FGF8-iso-B
CDC42BPB	FGF8-iso-B
CD84	FGF8-iso-B
ENTPD3	FGF8-iso-B
ADCYAP1-27	FGF8-iso-B
HSD17B1	FGF8-iso-B
IL12AB	PLA2G2E
E7_HPV16	PLA2G2E
PF4	PLA2G2E
ARSA	PLA2G2E
HAT1	PLA2G5
MAP2K1	PLA2G5
SEMA3A	PLA2G5
PTPN11	PLA2G5
UFC1	PLA2G5
IL15RA	PLA2G5
CAT	PLA2G5
PTGS2	PLA2G5
SEZ6L2	PLA2G5
UBE2L3	PLA2G5
LMNB1	PLA2G5
MED1	PLA2G5
SNX4	PLA2G5
CCL13	PLA2G5
DHH	PLA2G5
GSTA3	PLA2G5
ADSL	PLA2G5
SSRP1	PLA2G5
EFNB3	IL12AB
TDGF1	IL12AB
PECAM1	IL12AB
KAT6A	IL12AB
LGALS4	IL12AB
CD4	IL12AB
ANGPTL3	IL12AB
IL24	IL12AB
CDK2	IL12AB
CCL24	IL12AB
XCL1	IL12AB
Plasmin	IL12AB
MDM2	IL12AB
PON1	IL12AB
FGF12	IL12AB
RASA1	IL12AB
HS6ST1	IL12AB
OLFM4	IL12AB
PDE7A	IL12AB
ANGPT4	CCL20
MBD4	CCL20
FGF4	CCL20
CFI	APCS
PROS1	APCS
GHR	APCS
BMP1	APCS
CFH	APCS
CRP	APCS
TNFRSF11B	KIT
C1Q	KIT
EDA	KIT
CX3CL1	KIT
VCAM1	KIT
CA10	KIT
CHRDL1	KIT
PAK3	KIT
Lymphotoxin-a2b1	KIT
L1CAM	KIT
GPR114	KIT
LAYN	TIMP3
IL27	TIMP3
DKK1	TIMP3
THBS1	TNFSF12
ARSA	TNFSF12
BMP10	TNFSF12
CLEC7A	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
SKP1	TNFSF12
ADAMTS1	ANGPT4
PRSS7	ANGPT4
DMP1	ANGPT4
