gene1	gene2
KLKB1	F11
CXCL10	CCL27
AGRP	COL18A1
CCL23	COL18A1
ACP5	COL18A1
THBS4	COL18A1
CHRDL1	COL18A1
NTF3	COL18A1
SLPI	COL18A1
DPT	COL18A1
CSF1R	TIMP1
IGFBP5	TIMP1
CFD	TIMP1
IGF1	TIMP1
ULBP2	TIMP1
KLK5	TIMP1
LYVE1	TIMP1
SIGLEC1	TIMP1
PDE9A	TIMP1
WFIKKN2	PLAT
MFRP	PLAT
ULBP2	PROK1
ADAMTS5	PROK1
HTRA2	PROK1
CDK2	PROK1
PIK3CA	PROK1
XPNPEP1	PROK1
FGF12	PROK1
ANXA2	PROK1
MSN	PROK1
IL22RA2	PROK1
HAVCR2	PROK1
LCN2	TIMP2
NRP1	TIMP2
LDHB	TIMP2
NOTCH3	TIMP2
IL12AB	TGFB1
CCL20	TGFB1
KLK4	TGFB1
SPARC	TGFB1
PRSS7	TGFB1
THBS1	TGFB1
BMP10	TGFB1
PRKCQ	TGFB1
Plasmin	TGFB1
CFI	C5
C9	C5
CFB	C5
CFH	C5
C5B-C6	C5
CDH3	APOE
IGFBP6	APOE
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
ADAMTS13	APOE
C1R	APOE
GFRA1	APOE
CSF2	APOE
FGFR4	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
SPARC	BDNF
APP	BDNF
NID1	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
ROR1	FGFR1
IL6ST	FGFR1
CDH5	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
TGFBR3	FGFR1
IL19	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CGA-TSHB	FGFR1
CHL1	FGFR1
DKK3	FGFR1
NCAM1	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
CD55	FGFR1
JAG1	FGFR1
NOTCH1	FGFR1
ROBO2	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
ARG1	C8
CA4	C8
CA10	C8
PAK3	C8
FLT3	C8
BIRC5	C8
TPM2	C8
AGR2	C8
ATP5B	C8
RB1	C8
EFNB3	CTSG
MPO	CTSG
PRKCZ	CTSG
MAPT	CTSG
PECAM1	CTSG
AZU1	CTSG
ESR1	CTSG
GAS1	CTSG
EPO	CTSG
TGFB3	CTSG
BPI	CTSG
CHST6	CTSG
GREM1	CTSG
MATN2	CXCL16
DKK3	CXCL16
ALCAM	CXCL16
IL23A	FGF10
HMGB1	FGF8-iso-B
ICAM3	FGF8-iso-B
OSM	FGF8-iso-B
KAT6A	FGF8-iso-B
MATN3	FGF8-iso-B
TLR2	FGF8-iso-B
ENTPD3	FGF8-iso-B
RASA1	FGF8-iso-B
CLU	FGF8-iso-B
E7_HPV16	PLA2G2E
PRSS7	PLA2G2E
PTPN11	PLA2G2E
SPTAN1	PLA2G2E
TDGF1	PLA2G5
PTN	PLA2G5
CDH2	PLA2G5
FST	PLA2G5
CCL13	PLA2G5
MDM2	PLA2G5
CHST2	PLA2G5
ADAMTS15	PLA2G5
COL23A1	PLA2G5
CCL20	IL12AB
EFNB3	IL12AB
PRSS7	IL12AB
ANGPTL3	IL12AB
IL24	IL12AB
GZMH	IL12AB
CCL24	IL12AB
Plasmin	IL12AB
OLFM4	IL12AB
E7_HPV16	CCL20
ACVR1B	CCL20
KLK4	CCL20
CD207	CCL20
GZMH	CCL20
CLEC7A	CCL20
TPO	CCL20
MBD4	CCL20
PON1	CCL20
FGF12	CCL20
DNAJC19	CCL20
CFI	APCS
PROS1	APCS
SERPINA3	APCS
BMP1	APCS
CFB	APCS
CFH	APCS
CRP	APCS
DKK1	TIMP3
PDGFB	TIMP3
RSPO2	TIMP3
BMP10	TNFSF12
CLEC7A	TNFSF12
FCN1	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
SKP1	TNFSF12
ATP5B	TNFSF12
TDGF1	ANGPT4
SIGLEC6	ANGPT4
ADAMTS1	ANGPT4
PRSS7	ANGPT4
MBD4	ANGPT4
XCL1	ANGPT4
PDE7A	ANGPT4
LYVE1	CDH1
TFPI	CDH1
SLPI	CDH1
SOD2	CDH1
NOTCH1	CDH1
CD27	CDH1
EFNB3	GFRA3
TNFRSF8	GFRA3
LAYN	GFRA3
PRKCZ	GFRA3
MAPT	GFRA3
PECAM1	GFRA3
IL17F	GFRA3
MMP17	GFRA3
KAT6A	GFRA3
ESR1	GFRA3
GAS1	GFRA3
FCGR1A	GFRA3
EPO	GFRA3
H2AFZ	GFRA3
CHST2	GFRA3
CHST6	GFRA3
TNFRSF8	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
PECAM1	EFNB3
MMP17	EFNB3
ESR1	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
FCGR1A	EFNB3
IL24	EFNB3
ABL1	EFNB3
EPO	EFNB3
TGFB3	EFNB3
FGF4	EFNB3
IL17D	EFNB3
CCL13	EFNB3
Plasmin	EFNB3
MDM2	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IL11	EFNB3
OLFM4	EFNB3
SERPINF2	GFRA2
GFRA1	GFRA2
SERPINC1	GFRA2
BCL2A1	GFRA2
