gene1	gene2
CFP	C4B
KLKB1	F11
CDH1	COL18A1
SERPINE2	COL18A1
ACP5	COL18A1
TFPI	COL18A1
SLPI	COL18A1
DPT	COL18A1
ARTN	TIMP1
SERPINE2	TIMP1
BMP10	TIMP1
CLEC7A	TIMP1
BMPER	TIMP1
LEP	PLAT
NTN4	PLAT
HS6ST1	PLAT
NANOG	PROK1
CCL16	PROK1
LCN2	TIMP2
PIK3CA	TIMP2
NOTCH3	TIMP2
BDNF	TGFB1
IL12AB	TGFB1
TNFSF12	TGFB1
SPARC	TGFB1
APP	TGFB1
CNDP2	TGFB1
PRKCQ	TGFB1
DNAJC19	TGFB1
GFRA2	FLT4
IGFBP4	FLT4
SERPINF2	FLT4
GFRA1	FLT4
C2	C5
CFH	C5
C5B-C6	C5
SIRT2	C5
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
FGFR4	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
APP	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
EIF4EBP2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
EREG	BDNF
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
CNTFR	FGFR1
CDH5	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
TGFBR3	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
DKK3	FGFR1
MMP2	FGFR1
IGF1R	FGFR1
NCAM1	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
CD55	FGFR1
NOTCH1	FGFR1
ROBO2	FGFR1
OMD	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
IL10RB	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
CD97	C8
ARG1	C8
CA4	C8
CA10	C8
AURKB	C8
CDK5	C8
BIRC5	C8
NTRK1	C8
TPO	C8
SPHK2	C8
TPM2	C8
ZAP70	C8
AGR2	C8
RB1	C8
GFRA3	CTSG
EFNB3	CTSG
PRKCZ	CTSG
MAPT	CTSG
PECAM1	CTSG
MMP17	CTSG
SERPINE2	CTSG
ANGPTL3	CTSG
EPO	CTSG
H2AFZ	CTSG
IL28A	CTSG
CHST2	CTSG
MRC1	CXCL16
ALCAM	CXCL16
SPINT2	FGF10
NR1D1	FGF10
ICAM3	FGF8-iso-B
KAT6A	FGF8-iso-B
ICOS	FGF8-iso-B
MATN3	FGF8-iso-B
STAB2	FGF8-iso-B
CDC42BPB	FGF8-iso-B
CD84	FGF8-iso-B
ENTPD3	FGF8-iso-B
ADCYAP1-27	FGF8-iso-B
HSD17B1	FGF8-iso-B
TNFRSF12A	FGF8-iso-B
CALR	FGF8-iso-B
SLC25A18	FGF8-iso-B
ARSA	PLA2G2E
CD4	PLA2G5
VIP	PLA2G5
LMNB1	PLA2G5
MED1	PLA2G5
NR1D1	PLA2G5
PECAM1	IL12AB
LGALS4	IL12AB
ANGPTL3	IL12AB
DYNLL1	IL12AB
MBD4	IL12AB
CCL24	IL12AB
Plasmin	IL12AB
TNFSF12	CCL20
SEMA3A	CCL20
MBD4	CCL20
CFI	APCS
BMP1	APCS
CFH	APCS
CRP	APCS
TNFRSF11B	KIT
C1Q	KIT
EDA	KIT
CX3CL1	KIT
VCAM1	KIT
CDK5	KIT
PAK3	KIT
Lymphotoxin-a2b1	KIT
L1CAM	KIT
GPR114	KIT
THBS1	TNFSF12
BMP10	TNFSF12
CLEC7A	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
SKP1	TNFSF12
SIGLEC6	ANGPT4
PRSS7	ANGPT4
GZMH	ANGPT4
MBD4	ANGPT4
XCL1	ANGPT4
TGFB2	ANGPT4
ERBB3	CDH1
TNFRSF17	CDH1
EGFR	CDH1
CNTN1	CDH1
TFPI	CDH1
KLKB1	CDH1
CFL1	CDH1
SLPI	CDH1
PRDX5	CDH1
NOTCH1	CDH1
EFNB3	GFRA3
TNFRSF8	GFRA3
PRKCZ	GFRA3
MAPT	GFRA3
PECAM1	GFRA3
MMP17	GFRA3
KAT6A	GFRA3
SERPINE2	GFRA3
ANGPTL3	GFRA3
FCGR1A	GFRA3
BSG	GFRA3
IL17D	GFRA3
CHST2	GFRA3
LTA	GFRA3
TNFRSF8	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
TDGF1	EFNB3
PECAM1	EFNB3
CRLF2	EFNB3
MMP17	EFNB3
ESR1	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
ABL1	EFNB3
EPO	EFNB3
TGFB3	EFNB3
MMP10	EFNB3
FGF4	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IGFBP6	GFRA2
SERPINF2	GFRA2
C1R	GFRA2
GFRA1	GFRA2
SERPINC1	GFRA2
GPC5	GFRA2
LAG3	GFRA2
