gene1	gene2
Lymphotoxin-a2b1	C4B
PAK6	C4B
KLKB1	F11
IL1A	CCL27
HMGB1	COL18A1
ACP5	COL18A1
THBS4	COL18A1
CHRDL1	COL18A1
NTF3	COL18A1
SLPI	COL18A1
DPT	COL18A1
LYVE1	TIMP1
NTN4	PLAT
CLEC7A	PLAT
NANOG	PROK1
PLK1	PROK1
NPPB	PROK1
FGF12	PROK1
DSC3	PROK1
PDE7A	PROK1
KRT18	PROK1
HSPD1	TIMP2
NRP1	TIMP2
FGF12	TIMP2
DSC3	TIMP2
NOTCH3	TIMP2
IL12AB	TGFB1
CCL20	TGFB1
EFNB3	TGFB1
SPARC	TGFB1
PRSS7	TGFB1
CNDP2	TGFB1
MEPE	TGFB1
PRKCQ	TGFB1
Plasmin	TGFB1
GFRA1	FLT4
CFI	C5
CFB	C5
CFH	C5
C5B-C6	C5
SIRT2	C5
IGFBP6	APOE
APOE-isoE3	APOE
APOE-isoE4	APOE
IGFBP4	APOE
SERPINF2	APOE
ADAMTS13	APOE
GFRA1	APOE
SERPINA5	APOE
MST1	APOE
FGFR4	APOE
LAG3	APOE
APOE-isoE2	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
SPARC	BDNF
APP	BDNF
NID1	BDNF
DKK4	BDNF
THBS1	BDNF
DKK1	BDNF
NID2	BDNF
EIF4EBP2	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
POMC-cort	BDNF
ROR1	FGFR1
IL6ST	FGFR1
CDH5	FGFR1
NBL1	FGFR1
CNTN1	FGFR1
LSAMP	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
CHL1	FGFR1
DKK3	FGFR1
MMP2	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
CD55	FGFR1
EPHB6	FGFR1
JAG1	FGFR1
NOTCH1	FGFR1
ROBO2	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
ARG1	C8
CA4	C8
CA10	C8
BIRC5	C8
NTRK1	C8
TPM2	C8
AGR2	C8
RB1	C8
EFNB3	CTSG
MPO	CTSG
MAPT	CTSG
AZU1	CTSG
ESR1	CTSG
EPO	CTSG
CHST6	CTSG
MATN2	CXCL16
HFE2	CXCL16
ALCAM	CXCL16
PAFAH1B2	FGF10
LRP8	FGF10
PTPN11	FGF10
XPNPEP1	FGF10
FGF7	FGF10
IL23A	FGF10
HMGB1	FGF8-iso-B
MST1R	FGF8-iso-B
PRKCZ	FGF8-iso-B
ICAM3	FGF8-iso-B
KAT6A	FGF8-iso-B
MEPE	FGF8-iso-B
BIRC5	FGF8-iso-B
ENTPD3	FGF8-iso-B
CCL11	FGF8-iso-B
E7_HPV16	PLA2G2E
ACVR1B	PLA2G2E
KLK4	PLA2G2E
PRSS7	PLA2G2E
CD207	PLA2G2E
GZMH	PLA2G2E
NTF4	PLA2G2E
PON1	PLA2G2E
FST	PLA2G5
BIRC7	PLA2G5
E7_HPV16	IL12AB
NANOG	IL12AB
KLRK1	IL12AB
PRSS7	IL12AB
ANGPTL3	IL12AB
GZMH	IL12AB
CCL24	IL12AB
Plasmin	IL12AB
RSPO2	IL12AB
OLFM4	IL12AB
ANGPT4	CCL20
E7_HPV16	CCL20
ACVR1B	CCL20
MEPE	CCL20
GZMH	CCL20
MBD4	CCL20
TGFB2	CCL20
PON1	CCL20
FGF12	CCL20
CFI	APCS
PROS1	APCS
CFB	APCS
CFH	APCS
CRP	APCS
L1CAM	KIT
DKK1	TIMP3
PDGFB	TIMP3
KPNA2	TNFSF12
BMP10	TNFSF12
CLEC7A	TNFSF12
TEC	TNFSF12
MFRP	TNFSF12
SKP1	TNFSF12
ATP5B	TNFSF12
TDGF1	ANGPT4
PRSS7	ANGPT4
MBD4	ANGPT4
XCL1	ANGPT4
TFPI	CDH1
SLPI	CDH1
NOTCH1	CDH1
EFNB3	GFRA3
TNFRSF8	GFRA3
LAYN	GFRA3
PRKCZ	GFRA3
MAPT	GFRA3
PECAM1	GFRA3
MMP17	GFRA3
KAT6A	GFRA3
ESR1	GFRA3
GAS1	GFRA3
FCGR1A	GFRA3
H2AFZ	GFRA3
CHST6	GFRA3
RASA1	GFRA3
FCAR	GFRA3
TNFRSF8	EFNB3
HMOX2	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
PECAM1	EFNB3
ESR1	EFNB3
CD4	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
FCGR1A	EFNB3
CNTF	EFNB3
EPO	EFNB3
TGFB3	EFNB3
BMPER	EFNB3
CCL13	EFNB3
MDM2	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IL11	EFNB3
VCAM1	GFRA2
SERPINF2	GFRA2
C1R	GFRA2
GFRA1	GFRA2
SERPINC1	GFRA2
NRXN3	GFRA2
HGF	CCL21
THBS1	CCL5
CXCL6	CCL5
CXCL12	CCL5
CSF1	CCL5
DSC3	CCL5
LTBR	HMGB1
ICAM3	HMGB1
OSM	HMGB1
CCL1	HMGB1
AIF1	HMGB1
HDAC8	HMGB1
KAT6A	HMGB1
DSG1	HMGB1
JAM2	HMGB1
ENTPD1	HMGB1
KLK12	HMGB1
FOLH1	HMGB1
PIK3CG	HMGB1
STAB2	HMGB1
CAMK1D	HMGB1
KLK6	HMGB1
STK16	HMGB1
BSG	HMGB1
EPHB4	HMGB1
CDC42BPB	HMGB1
CD84	HMGB1
KLK14	HMGB1
CFL1	HMGB1
SYNCRIP	HMGB1
DAPK2	HMGB1
DYRK3	HMGB1
ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
PPIB	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
IMPDH2	HMGB1
MAP3K7	HMGB1
E7_HPV18	TNFRSF11B
LTBR	TNFRSF11B
IL1F7	TNFRSF11B
CD97	TNFRSF11B
ARG1	TNFRSF11B
CA4	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
TPO	TNFRSF11B
SYNCRIP	TNFRSF11B
TPM2	TNFRSF11B
RB1	TNFRSF11B
VCAM1	POMC-be
C3B-inac	CFI
SERPINA3	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
LEP	IGFBP2
GHR	IGFBP2
IGF1	IGFBP3
ITIH4	IGFBP3
GHR	LEP
ADAMTS15	LEP
CXCL1	CCL2
CCL7	CCL2
MPO	MMP9
TNFRSF1A	MMP9
HGF	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
SFRP1	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
RETN	MPO
DLL4	MPO
LRP8	MPO
PGLYRP1	MPO
PRTN3	MPO
OLR1	MPO
BPI	MPO
GPI	MPO
LIFR	MPO
ANXA1	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
S100A9	MPO
TNFSF14	MPO
CNTFR	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
CST6	ROR1
MATN2	ROR1
RGMB	ROR1
HFE2	ROR1
CD55	ROR1
EPHB6	ROR1
NRXN3	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
ULBP1	VEGFA
VEGFA-iso121	VEGFA
MST1R	TNFRSF9
ERBB4	TNFSF9
CHST15	ANGPT2
CRLF1	CD80
ARG1	CD80
RASA1	CD80
ESD	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
MAPT	TNFRSF8
PECAM1	TNFRSF8
MMP17	TNFRSF8
ESR1	TNFRSF8
GAS1	TNFRSF8
ULBP3	CRLF1
CNTF	CRLF1
RGMB	CST3
B2M	CST3
CST4	CST3
RELT	CST3
UNC5C	CST3
BCAM	TYRO3
CADM1	TYRO3
RPS27A-UbB	EIF5
UBE2I	EIF5
PTPN11	EIF5
UFC1	EIF5
RPS6KA3	EIF5
XPNPEP1	EIF5
CASP3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
SNX4	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
PFDN5	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
MSN	EIF5
SHC1	EIF5
EFNA5	EFNA4
CNTFR	EFNA4
BCAM	EFNA4
KLK8	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
PDCD1LG2	EFNA4
IL18BP	EFNA4
MEPE	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
INSR	EFNA4
TEC	EFNA4
