gene1	gene2
KLKB1	F11
C3A-desArg	CCL27
APOE-isoE3	CCL27
IGFBP7	CCL27
CXCL12	CCL27
CXCL10	CCL27
Plasminogen	CCL27
LCMT1	CCL27
PRSS22	CCL27
C3A	CCL27
MAP2K4	CCL27CXCL3
CCL11	CCL27
SPOCK2	CCL27
AGRP	COL18A1
ACP5	COL18A1
PAPPA	COL18A1
SLPI	COL18A1
MMP12	COL18A1
DPT	COL18A1
F7	TIMP1
CLEC7A	TIMP1
LEP	PLAT
MEPE	PROK1
FGF12	PROK1
OLFM4	PROK1
DSC3	PROK1
LCN2	TIMP2
NRP1	TIMP2
LDHB	TIMP2
NOTCH3	TIMP2
PLA2G2E	TGFB1
IL12AB	TGFB1
TNFSF12	TGFB1
EFNB3	TGFB1
HMOX2	TGFB1
MAPT	TGFB1
APP	TGFB1
CNDP2	TGFB1
CLEC7A	TGFB1
IL22RA1	TGFB1
MFRP	TGFB1
PRKCQ	TGFB1
MBD4	TGFB1
CCL24	TGFB1
EIF4EBP2	TGFB1
GREM1	TGFB1
IL11	TGFB1
GFRA2	FLT4
APOE-isoE3	FLT4
JAM2	FLT4
SERPINF2	FLT4
IGFBP7	FLT4
MASP1	FLT4
EPHB4	FLT4
LGMN	FLT4
PRSS27	FLT4
OPCML	FLT4
DKKL1	FLT4
PPP3R1	FLT4
KLK14	FLT4
IL5	FLT4
IL11RA	FLT4
CMPK1	FLT4
PPA1	FLT4
PDE2A	FLT4
STK17B	FLT4
ABL2	FLT4
BCAR3	FLT4
CFB	C5
C5B-C6	C5
SIRT2	C5
GFRA2	APOE
IGFBP6	APOE
APOE-isoE3	APOE
IGFBP4	APOE
JAM2	APOE
SERPINF2	APOE
WISP1	APOE
ADAMTS13	APOE
CTSD	APOE
F7	APOE
GFRA1	APOE
FN1-frag3	APOE
FLT3	APOE
MMEL1	APOE
CDC42BPB	APOE
OPCML	APOE
OCIAD1	APOE
RBP4	APOE
DYRK3	APOE
HSD17B1	APOE
PPIB	APOE
PLA2G7	APOE
LAG3	APOE
STK17B	APOE
PDE11A	APOE
PDE4D	APOE
ABL2	APOE
BCAR3	APOE
APOE-isoE2	APOE
CDH15	APOE
TNFRSF11A	APOE
PPBP-pep2	BDNF
ANGPT1	BDNF
SERPINE1	BDNF
SPARC	BDNF
APP	BDNF
NID1	BDNF
DKK4	BDNF
MPL	BDNF
NID2	BDNF
ITGA2B	BDNF
PDGFB	BDNF
PDGFA	BDNF
PPBP-pep3	BDNF
EREG	BDNF
CXCL16	FGFR1
ROR1	FGFR1
IL6ST	FGFR1
NTRK3	FGFR1
EGFR	FGFR1
CNTFR	FGFR1
SHH	FGFR1
CDH5	FGFR1
TNFSF15	FGFR1
CNTN1	FGFR1
PDCD1LG2	FGFR1
TGFBR3	FGFR1
IL19	FGFR1
MRC2	FGFR1
CNTN4	FGFR1
CST6	FGFR1
MATN2	FGFR1
RGMB	FGFR1
HFE2	FGFR1
INSR	FGFR1
CHL1	FGFR1
DKK3	FGFR1
KDR	FGFR1
MMP2	FGFR1
IGF1R	FGFR1
SPON1	FGFR1
NCAM1	FGFR1
CDON	FGFR1
EMR2	FGFR1
SLITRK5	FGFR1
NTRK2	FGFR1
ENG	FGFR1
CD55	FGFR1
EPHB6	FGFR1
GPNMB	FGFR1
JAG1	FGFR1
NOTCH1	FGFR1
NRXN3	FGFR1
ROBO2	FGFR1
ICAM5	FGFR1
UNC5C	FGFR1
ANXA6	FGFR1
TNFRSF21	FGFR1
ALCAM	FGFR1
TNFRSF11B	C8
E7_HPV18	C8
IL10RB	C8
LTBR	C8
TNFSF18	C8
IL1F7	C8
CD97	C8
CX3CL1	C8
ARG1	C8
RAD51	C8
CA4	C8
KLK12	C8
FOLH1	C8
AURKB	C8
NTRK1	C8
TPO	C8
