soma	description	protein	new.annotation	gene
SL000318	Complement C4b	P0C0L4  P0C0L5	C4B	C4A C4B
SL002662	Coagulation Factor XI	P03951	F11	F11
SL003168	C-C motif chemokine 27	Q9Y4X3	CCL27	CCL27
SL000403	Endostatin	P39060	COL18A1	COL18A1
SL000591	Metalloproteinase inhibitor 1	P01033	TIMP1	TIMP1
SL000053	Tissue-type plasminogen activator	P00750	PLAT	PLAT
SL004332	Prokineticin-1	P58294	PROK1	PROK1
SL000592	Metalloproteinase inhibitor 2	P16035	TIMP2	TIMP2
SL000584	Transforming growth factor beta-1	P01137	TGFB1	TGFB1
SL003322	Vascular endothelial growth factor receptor 3	P35916	FLT4	FLT4
SL000319	Complement C5	P01031	C5	C5
SL000276	Apolipoprotein E	P02649	APOE	APOE
SL003951	Brain-derived neurotrophic factor	P23560	BDNF	BDNF
SL003060	Fibroblast growth factor receptor 1	P11362	FGFR1	FGFR1
SL000324	Complement component C8	"P07357,P07358,P07360"	C8	C8A C8B C8G
SL000345	Cathepsin G	P08311	CTSG	CTSG
SL004016	C-X-C motif chemokine 16	Q9H2A7	CXCL16	CXCL16
SL004333	Fibroblast growth factor 10	O15520	FGF10	FGF10
SL004342	Fibroblast growth factor 8 isoform B	P55075	FGF8-iso-B	FGF8
SL004066	Group IIE secretory phospholipase A2	Q9NZK7	PLA2G2E	PLA2G2E
SL004182	Calcium-dependent phospholipase A2	P39877	PLA2G5	PLA2G5
SL001716	Interleukin-12	"P29459,  P29460"	IL12AB	IL12A IL12B
SL000133	C-C motif chemokine 20	P78556	CCL20	CCL20
SL000573	Serum amyloid P-component	P02743	APCS	APCS
SL004010	Mast/stem cell growth factor receptor Kit	P10721	KIT	KIT
SL003043	Metalloproteinase inhibitor 3	P35625	TIMP3	TIMP3
SL004365	Tumor necrosis factor ligand superfamily member 12	O43508	TNFSF12	TNFSF12
SL004643	Angiopoietin-4	Q9Y264	ANGPT4	ANGPT4
SL000055	Cadherin-1	P12830	CDH1	CDH1
SL004144	GDNF family receptor alpha-3	O60609	GFRA3	GFRA3
SL004142	Ephrin-B3	Q15768	EFNB3	EFNB3
SL004143	GDNF family receptor alpha-2	O00451	GFRA2	GFRA2
SL003193	C-C motif chemokine 21	O00585	CCL21	CCL21
SL000563	C-C motif chemokine 5	P13501	CCL5	CCL5
SL003280	High mobility group protein B1	P09429	HMGB1	HMGB1
SL002539	Tumor necrosis factor receptor superfamily member 11B	O00300	TNFRSF11B	TNFRSF11B
SL000300	Beta-endorphin	P01189	POMC-be	POMC
SL003328	Complement factor I	P05156	CFI	CFI
SL000466	Insulin-like growth factor-binding protein 2	P18065	IGFBP2	IGFBP2
SL000045	Insulin-like growth factor-binding protein 3	P17936	IGFBP3	IGFBP3
SL000498	Leptin	P41159	LEP	LEP
SL000038	C-C motif chemokine 2	P13500	CCL2	CCL2
SL000527	Matrix metalloproteinase-9	P14780	MMP9	MMP9
SL001796	Myeloperoxidase	P05164	MPO	MPO
SL000546	Prolactin	P01236	PRL	PRL
SL006114	Tyrosine-protein kinase transmembrane receptor ROR1	Q01973	ROR1	ROR1
SL000002	Vascular endothelial growth factor A	P15692	VEGFA	VEGFA
SL004126	Tumor necrosis factor receptor superfamily member 9	Q07011	TNFRSF9	TNFRSF9
SL003735	Tumor necrosis factor ligand superfamily member 9	P41273	TNFSF9	TNFSF9
SL001996	Angiopoietin-2	O15123	ANGPT2	ANGPT2
SL003738	T-lymphocyte activation antigen CD80	P33681	CD80	CD80
SL004180	Tumor necrosis factor receptor superfamily member 8	P28908	TNFRSF8	TNFRSF8
SL004692	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	O75462 Q9UBD9	CRLF1	CRLF1 CLCF1
SL001777	Cystatin-C	P01034	CST3	CST3
SL004136	Tyrosine-protein kinase receptor TYRO3	Q06418	TYRO3	TYRO3
SL004759	Eukaryotic translation initiation factor 5	P55010	EIF5	EIF5
SL004140	Ephrin-A4	P52798	EFNA4	EFNA4
SL004141	Ephrin-A5	P52803	EFNA5	EFNA5
SL000009	Receptor tyrosine-protein kinase erbB-2	P04626	ERBB2	ERBB2
SL002519	Receptor tyrosine-protein kinase erbB-3	P21860	ERBB3	ERBB3
SL003803	Receptor tyrosine-protein kinase erbB-4	Q15303	ERBB4	ERBB4
SL001890	Tumor-associated calcium signal transducer 2	P09758	TACSTD2	TACSTD2
SL003872	Interleukin-6 receptor subunit beta	P40189	IL6ST	IL6ST
SL004751	Heme oxygenase 2	P30519	HMOX2	HMOX2
SL004697	Protein E7_HPV16	P03129	E7_HPV16	Human-virus
SL004698	Protein E7_HPV18	P06788	E7_HPV18	Human-virus
SL017612	Heat shock protein HSP 90-alpha/beta	P07900 P08238	HSP90AA1	HSP90AA1 HSP90AB1
SL004588	Interleukin-1 Receptor accessory protein	Q9NPH3	IL1RAP	IL1RAP
SL004147	Interleukin-10 receptor subunit beta	Q08334	IL10RB	IL10RB
SL004148	Interleukin-12 receptor subunit beta-1	P42701	IL12RB1	IL12RB1
SL004149	Interleukin-13 receptor subunit alpha-1	P78552	IL13RA1	IL13RA1
SL003307	Cytokine receptor common subunit gamma	P31785	IL2RG	IL2RG
SL004646	Layilin	Q6UX15	LAYN	LAYN
SL000509	Tumor necrosis factor receptor superfamily member 3	P36941	LTBR	LTBR
SL004579	Macrophage mannose receptor 1	P22897	MRC1	MRC1
SL004153	Macrophage colony-stimulating factor 1 receptor	P07333	CSF1R	CSF1R
SL004637	Macrophage-stimulating protein receptor	Q04912	MST1R	MST1R
SL004760	Platelet-activating factor acetylhydrolase IB subunit beta	P68402	PAFAH1B2	PAFAH1B2
SL004183	Cadherin-3	P22223	CDH3	CDH3
SL000551	Protein kinase C alpha type	P17252	PRKCA	PRKCA
SL000557	Protein kinase C zeta type	Q05513	PRKCZ	PRKCZ
SL003648	Rab GDP dissociation inhibitor beta	P50395	GDI2	GDI2
SL003178	Intercellular adhesion molecule 3	P32942	ICAM3	ICAM3
SL002506	Urokinase plasminogen activator surface receptor	Q03405	PLAUR	PLAUR
SL004230	Microtubule-associated protein tau	P10636	MAPT	MAPT
SL001992	Tumor necrosis factor receptor superfamily member 1A	P19438	TNFRSF1A	TNFRSF1A
SL004639	NT-3 growth factor receptor	Q16288	NTRK3	NTRK3
SL004672	Tumor necrosis factor receptor superfamily member 17	Q02223	TNFRSF17	TNFRSF17
SL004081	Decorin	P07585	DCN	DCN
SL000337	Calpain I	P07384 P04632	CAPN1	CAPN1 CAPNS1
SL000383	Creatine kinase M-type	P06732	CKM	CKM
SL005155	Teratocarcinoma-derived growth factor 1	P13385	TDGF1	TDGF1
SL002644	Epidermal growth factor receptor	P00533	EGFR	EGFR
SL000441	Hepatocyte growth factor	P14210	HGF	HGF
SL000450	"60 kDa heat shock protein, mitochondrial"	P10809	HSPD1	HSPD1
SL000456	"Complement C3b, inactivated"	P01024	C3B-inac	C3
SL004676	Insulin-like growth factor-binding protein 5	P24593	IGFBP5	IGFBP5
SL005172	Insulin-like growth factor-binding protein 6	P24592	IGFBP6	IGFBP6
SL001947	Melanoma-derived growth regulatory protein	Q16674	MIA	MIA
SL004297	Neuregulin-1	Q02297	NRG1	NRG1
SL002528	"Phospholipase A2, membrane associated"	P14555	PLA2G2A	PLA2G2A
SL000530	Oncostatin-M	P13725	OSM	OSM
SL001721	Platelet endothelial cell adhesion molecule	P16284	PECAM1	PECAM1
SL004685	Persephin	O60542	PSPN	PSPN
SL003041	Platelet factor 4	P02776	PF4	PF4
SL000049	Vitamin K-dependent protein S	P07225	PROS1	PROS1
SL004364	Tumor necrosis factor receptor superfamily member 13B	O14836	TNFRSF13B	TNFRSF13B
SL003197	C-C motif chemokine 25	O15444	CCL25	CCL25
SL000590	Thyroxine-Binding Globulin	P05543	SERPINA7	SERPINA7
SL004326	Tumor necrosis factor ligand superfamily member 18	Q9UNG2	TNFSF18	TNFSF18
SL005153	Ciliary neurotrophic factor receptor subunit alpha	P26992	CNTFR	CNTFR
SL003334	Endothelial monocyte-activating polypeptide 2	Q12904	AIMP1	AIMP1
SL005159	Erythropoietin receptor	P19235	EPOR	EPOR
SL004591	Granulocyte colony-stimulating factor receptor	Q99062	CSF3R	CSF3R
SL005178	Interleukin-37	Q9NZH6	IL1F7	IL1F7
SL000497	Laminin	"P25391, P07942, P11047"	Laminin	LAMA1 LAMB1  LAMC1
SL005199	MHC class I polypeptide-related sequence A	Q29983	MICA	MICA
SL000528	NADPH--cytochrome P450 reductase	P16435	POR	POR
SL005235	Homeobox protein NANOG	Q9H9S0	NANOG	NANOG
SL005206	Natural cytotoxicity triggering receptor 2	O95944	NCR2	NCR2
SL004683	Noggin	Q13253	NOG	NOG
SL005236	Protein NOV homolog	P48745	NOV	NOV
SL005217	Sialic acid-binding Ig-like lectin 6	O43699	SIGLEC6	SIGLEC6
SL005218	Sialic acid-binding Ig-like lectin 7	Q9Y286	SIGLEC7	SIGLEC7
SL005220	Sonic hedgehog protein	Q15465	SHH	SHH
SL005226	Cytokine receptor-like factor 2	Q9HC73	CRLF2	CRLF2
SL005229	NKG2D ligand 3	Q9BZM4	ULBP3	ULBP3
SL001938	Inhibin beta A chain	P08476	INHBA	INHBA
SL000019	Apolipoprotein A-I	P02647	APOA1	APOA1
SL004589	Azurocidin	P20160	AZU1	AZU1
SL004329	Growth/differentiation factor 5	P43026	GDF5	GDF5
SL000309	Complement C1q subcomponent	P02745  P02746  P02747	C1Q	C1QA C1QB  C1QC
SL000312	Complement C3	P01024	C3	C3
SL003220	C3a anaphylatoxin des Arginine	P01024	C3A-desArg	C3
SL004752	Protein FAM107A	O95990	FAM107A	FAM107A
SL004336	Fibroblast growth factor 18	O76093	FGF18	FGF18
SL004337	Fibroblast growth factor 19	O95750	FGF19	FGF19
SL004338	Fibroblast growth factor 20	Q9NP95	FGF20	FGF20
SL003849	Fibroblast growth factor 9	P31371	FGF9	FGF9
SL004345	Growth/differentiation factor 11	O95390	GDF11	GDF11
SL000440	Hemopexin	P02790	HPX	HPX
SL000445	Protein Rev_HV2BE	P18093	Rev_HV2BE	Human-virus
SL003176	C-C motif chemokine 1	P22362	CCL1	CCL1
SL000462	Insulin-like growth factor-binding protein 1	P08833	IGFBP1	IGFBP1
SL001717	Interleukin-10	P22301	IL10	IL10
SL000474	Interleukin-16	Q14005	IL16	IL16
SL004352	Interleukin-17F	Q96PD4	IL17F	IL17F
